prompt_class,layer,mean_forman_curvature_mean,mean_forman_curvature_std,mean_forman_curvature_median,density_mean,density_std,density_median,n_edges_mean,n_edges_std,n_edges_median,lcc_size_mean,lcc_size_std,lcc_size_median,row_entropy_mean_mean,row_entropy_mean_std,row_entropy_mean_median,avg_shortest_path_lcc_mean,avg_shortest_path_lcc_std,avg_shortest_path_lcc_median,mean_forman_curvature_ci_lo,mean_forman_curvature_ci_hi,density_ci_lo,density_ci_hi,n_edges_ci_lo,n_edges_ci_hi,lcc_size_ci_lo,lcc_size_ci_hi,row_entropy_mean_ci_lo,row_entropy_mean_ci_hi,avg_shortest_path_lcc_ci_lo,avg_shortest_path_lcc_ci_hi
descriptive_baseline,0,17.976973861668302,40.952485503187425,37.84437312503839,0.39084415584415577,0.12213458008939035,0.4545454545454545,44.69285714285714,14.358661902632894,51.0,11.2,0.40143627033028595,11.0,0.9647181094776499,0.42145439631783266,1.1758544921874998,1.3420453572565478,0.5852987977819203,1.5831678666977935,10.775684940672859,24.644465476927294,0.36944642857142856,0.4115240800865801,42.2425,47.17142857142857,11.135714285714286,11.264285714285714,0.8939795493646101,1.0366653803292807,1.2432230033823655,1.4404919371936153
descriptive_baseline,8,22.998233766230527,47.73053748163035,36.190449860195514,0.4104924242424242,0.110833872389995,0.4469696969696969,46.05714285714286,14.958826671070447,51.5,10.92142857142857,1.2698374514616564,11.0,1.0005808258567783,0.3884195796274286,1.11632080078125,1.416289866518759,0.518851824389229,1.5588724991082197,15.14042847240808,29.939577985305796,0.3930875270562771,0.427960091991342,43.71339285714286,48.37875,10.7,11.107142857142858,0.938988560430833,1.0635190626150108,1.3322775294007547,1.4980245138022126
descriptive_baseline,15,41.2796008839619,27.416110825637695,49.016403600771966,0.46285714285714286,0.08240419567045337,0.4909090909090909,52.93571428571428,10.228476763242773,54.0,11.2,0.40143627033028595,11.0,1.1823882779208097,0.2887367548145457,1.24837646484375,1.5491459203541682,0.40685601566593865,1.6719840166716318,36.345902483369294,45.6563098747428,0.44788852813852814,0.47530438311688306,51.128571428571426,54.58571428571429,11.135714285714286,11.264285714285714,1.1314585548499962,1.226246905636478,1.478496012899775,1.6114681166938103
descriptive_baseline,23,19.02183574445028,40.72196193397556,30.936260653234886,0.39024891774891773,0.08184910289318711,0.4166666666666667,44.607142857142854,9.869432810867194,46.0,11.2,0.40143627033028595,11.0,0.8402524468186614,0.22582627454824825,0.8518310546875001,1.0682242202968422,0.31563897178747047,1.1014773459420732,11.945383807126815,25.508262395720855,0.37732683982683984,0.4032061688311688,43.02803571428572,46.17196428571428,11.135714285714286,11.264285714285714,0.8047670544091758,0.8784051918704788,1.0169952430017994,1.1228596963807587
logical_relational,0,20.58815942104531,52.77959735227249,28.31539793025722,0.3532141602807237,0.12997200401244302,0.38863636363636356,64.03571428571429,37.81066248200171,54.5,13.8,2.9703571473366317,13.0,0.9862998283538275,0.4734028894666381,1.09156494140625,1.4152866021598818,0.6311523647913642,1.4069908843436907,11.397079336732272,29.37200450666866,0.33154573257655406,0.3755704944350454,58.128571428571426,71.00071428571428,13.335714285714285,14.264464285714286,0.9093292662564313,1.0716190696764698,1.3155519872773414,1.5280502000896747
logical_relational,8,22.93471422507479,60.21608743111537,33.7773421914096,0.3691797329899939,0.11633306063179932,0.40427709545356605,65.77857142857142,33.99430080400439,55.0,13.742857142857142,2.9293145724447376,12.5,1.084967961753147,0.385831061646557,1.1772888183593748,1.7251294940174937,0.5468279501465142,1.7875085057599047,13.53431773142,32.212780480576576,0.349512757114869,0.3882049517482124,60.29767857142857,71.09625,13.285357142857144,14.200178571428571,1.0219097524136955,1.1489592940187212,1.6330791297318843,1.8145669768509498
logical_relational,15,55.79224236681968,33.413154685654575,56.51603461538837,0.43878719197162364,0.08975339433127363,0.46684981684981686,79.85714285714286,38.432707037044274,66.0,13.8,2.9703571473366317,13.0,1.291596770630452,0.34228277144210245,1.3390447443181817,1.7391652429680047,0.48353175686516664,1.8073113167194688,50.33670747632543,61.025827008750646,0.4223856322709429,0.4524780584114396,73.80660714285715,85.93,13.335714285714285,14.264464285714286,1.235060746649343,1.343128445014929,1.6559815150682538,1.8154401747646187
logical_relational,23,37.20175224213905,32.66976732548596,44.9615040416407,0.41662333010740793,0.07007879659923114,0.4238095238095238,73.85,28.051834087692963,64.5,13.8,2.9703571473366317,13.0,1.1925301877246801,0.23083103130479826,1.2098883492606025,1.460006475217465,0.3691808999481443,1.4700300457713082,31.709304629113525,42.48787279715618,0.40604913518591096,0.42792552348506574,69.36410714285714,78.25357142857142,13.335714285714285,14.264464285714286,1.1532116917721484,1.2303033450147738,1.4007928315493718,1.5221490293813384
minimal_pair,0,8.968042416956413,49.92385547882484,21.39045388438198,0.3733575155003726,0.12402159258677649,0.4090909090909091,47.02142857142857,20.544203214393246,44.5,11.7,1.6823245309208699,11.0,0.9189575080084604,0.41763197541120034,1.0692626953125,1.2529918975474685,0.5488738016547702,1.33264104253503,1.1361121964081466,17.415952767552287,0.352650227748442,0.3948470170702314,43.628392857142856,50.37875,11.428214285714287,11.971607142857144,0.8489696633494374,0.992451082787652,1.164447674885486,1.3475536398691037
minimal_pair,8,21.072703114979298,49.20370424100147,33.10802299548624,0.39915972915972914,0.1140140938701398,0.4363636363636363,49.892857142857146,19.4154490250098,49.0,11.635714285714286,1.7515079393668054,11.0,1.0127008544993616,0.35678941665008934,1.1078632061298077,1.4792299583322677,0.47054724317403995,1.5890914465392452,12.914145447054757,28.649220495087654,0.37996196264053406,0.4167769987948559,46.785714285714285,52.943214285714284,11.342857142857143,11.92142857142857,0.9558666373880484,1.0690545451677491,1.4029359102385626,1.555156868161105
minimal_pair,15,44.4761632767257,25.26128962155687,45.40176010221566,0.4569675166103737,0.08514848845465378,0.4888888888888889,58.035714285714285,20.112063996297383,54.0,11.7,1.6823245309208699,11.0,1.2094539708667602,0.299516336291333,1.259890407986111,1.5886343996105916,0.4177817110548362,1.6570892111007796,40.26769078650313,48.27812950153306,0.4413827640613355,0.4696915891648034,54.92142857142857,61.20035714285714,11.428214285714287,11.971607142857144,1.158602767329271,1.2557451593240472,1.5183493238367587,1.6537987060244275
minimal_pair,23,24.257367461132674,35.09254461280289,32.951882362796766,0.4227485213199499,0.062138495759383884,0.4363636363636363,53.4,16.096739917487113,51.0,11.7,1.6823245309208699,11.0,1.0739182568267875,0.20544526827738288,1.1038036746578617,1.3031956934248405,0.2878308406436707,1.3230867661807821,17.75138162029693,29.664901696243923,0.41187420317777457,0.43253775292168145,50.74160714285714,56.07142857142857,11.428214285714287,11.971607142857144,1.040457321307424,1.1067526298052175,1.2549006852615296,1.3506181987633443
semantic_abstract,0,9.192772062188094,37.79885778947234,22.392547691955095,0.3867460317460318,0.12060938196941845,0.4333333333333333,32.7,10.70917041302695,36.0,9.7,0.4599030238723222,10.0,0.8595874074905637,0.369004133690903,1.0108439127604165,1.2047862550235608,0.5162512539232398,1.4070362518423862,2.940454417706875,15.20689373229552,0.3661289682539683,0.40720287698412694,30.87142857142857,34.52892857142857,9.621428571428572,9.778571428571428,0.7981362477938334,0.9228068163092173,1.1227337795074235,1.2953816128920639
semantic_abstract,8,17.7216567151699,46.212190728532526,33.126020572899776,0.4353514739229025,0.11106774433179971,0.4861111111111111,36.385714285714286,10.970585731157955,40.0,9.55,0.8164231516743797,10.0,0.9961120705161235,0.36138025943684615,1.1119520399305556,1.3164557074331036,0.4464283954112925,1.4724471169804072,10.144645516671478,24.634026511430903,0.41672399376417224,0.4524080215419502,34.64142857142858,38.17142857142857,9.407142857142857,9.67142857142857,0.9379367068224754,1.0550060334151565,1.241826534288179,1.3892920938107522
semantic_abstract,15,30.821855414034513,18.96494895238065,35.08244348878148,0.47628968253968257,0.07870677541603512,0.5,40.292857142857144,7.790878662843956,45.0,9.7,0.4599030238723222,10.0,1.1654790726919024,0.2677830105567765,1.2341376410590277,1.485164652041756,0.36234051745775236,1.5935926075237643,27.433400025371082,33.79620906227925,0.4621066468253968,0.4881755952380952,38.885535714285716,41.55017857142857,9.621428571428572,9.778571428571428,1.116471397763207,1.207729393489777,1.4180620299884314,1.5391803707476632
semantic_abstract,23,8.350192703047577,37.70884892477256,19.64091445273907,0.4100992063492063,0.0743075105746127,0.4333333333333333,34.614285714285714,6.803073484730514,36.0,9.7,0.4599030238723222,10.0,0.8588391944529518,0.1919022998570844,0.8984035915798612,1.1980273908103252,0.29778570796395937,1.2489076881646257,2.24376938371345,14.066686586910377,0.3976359126984127,0.42147321428571427,33.464107142857145,35.7,9.621428571428572,9.778571428571428,0.8271000203679478,0.889860628247261,1.1460879558236527,1.2462296391982255
structured_nonlogical,0,11.56154643171749,40.77040560178428,24.700301298248917,0.3899025974025974,0.1159521638529924,0.4444444444444444,41.32142857142857,13.170310986065644,45.0,10.8,0.6021544054954288,11.0,0.9253504489923452,0.38676578333309214,1.0845350477430555,1.2769301743413477,0.5116404612849426,1.4049934081996693,4.890677374007362,18.370337466971947,0.3703910533910533,0.409251443001443,39.120357142857145,43.607142857142854,10.699821428571427,10.892857142857142,0.8601451838751033,0.99219113314599,1.1897253910181482,1.3617102559945637
structured_nonlogical,8,15.243974886970811,59.19188028677773,33.97148177279594,0.40748196248196245,0.10796775582650442,0.4454545454545454,42.56428571428572,14.297562661071874,45.0,10.55,1.2074409588318373,11.0,0.9777959139620833,0.38221975280332654,1.1064168294270833,1.399320970092844,0.4544847957594808,1.4799238707371598,3.9429520028715332,23.43505705401214,0.38925115955473094,0.42496608946608944,40.385535714285716,44.73607142857143,10.35,10.728571428571428,0.9181090388908457,1.0367544855423696,1.325366643415552,1.4647592963331806
structured_nonlogical,15,37.23501098719482,23.639522525684686,43.05771040450966,0.45286796536796536,0.08191027328758027,0.4818181818181818,48.042857142857144,10.254229819351528,49.0,10.8,0.6021544054954288,11.0,1.1122460589608416,0.28075846641363916,1.1763699001736112,1.4623350506613624,0.3887660897932389,1.5369440455144885,33.04991877917394,40.92444332330694,0.43819705988455987,0.4652906746031746,46.32821428571429,49.65017857142857,10.699821428571427,10.892857142857142,1.0639894286426805,1.1556128549396907,1.3960150086592127,1.5244823328269395
structured_nonlogical,23,11.35453523237807,40.22546865024488,17.913208819804808,0.40299783549783547,0.06971950956463314,0.4232323232323232,42.66428571428571,8.515420387638635,43.0,10.8,0.6021544054954288,11.0,0.8862153055485537,0.18980458980970977,0.9014485677083334,1.1161475910589067,0.28719684234794357,1.1355446308922659,4.6168231018499215,17.862058683299797,0.3912681277056277,0.41422817460317457,41.306785714285716,44.042857142857144,10.699821428571427,10.892857142857142,0.8547019665017618,0.9168253194466986,1.0688272776782273,1.160799431056413
