pair_id,layer,base_prompt_id,variant_prompt_id,base_prompt_text,variant_prompt_text,mean_forman_curvature_base,mean_forman_curvature_variant,mean_forman_curvature_diff,density_base,density_variant,density_diff,n_edges_base,n_edges_variant,n_edges_diff,lcc_size_base,lcc_size_variant,lcc_size_diff,row_entropy_mean_base,row_entropy_mean_variant,row_entropy_mean_diff,avg_shortest_path_lcc_base,avg_shortest_path_lcc_variant,avg_shortest_path_lcc_diff
P01,0,E01,E02,Alice is older than Bob and Alice is smiling today.,"If Alice is older than Bob, then Alice is the oldest.",4.012811393420165,19.103269213749446,15.09045782032928,0.3952380952380952,0.3695887445887446,-0.025649350649350644,35.57142857142857,48.785714285714285,13.214285714285715,10.0,12.0,2.0,0.8710349854968842,0.9249589350316432,0.053923949534758986,1.1366248170950113,1.2580164367572397,0.12139161966222844
P01,8,E01,E02,Alice is older than Bob and Alice is smiling today.,"If Alice is older than Bob, then Alice is the oldest.",13.360047419103392,28.502396536179038,15.142349117075646,0.4103174603174603,0.38690476190476186,-0.02341269841269844,36.92857142857143,51.07142857142857,14.142857142857139,10.0,12.0,2.0,0.8838297374664792,1.0410239479758523,0.1571942105093731,1.2297143271528852,1.5726290366546831,0.3429147095017979
P01,15,E01,E02,Alice is older than Bob and Alice is smiling today.,"If Alice is older than Bob, then Alice is the oldest.",33.08350339456624,47.103757828602646,14.020254434036403,0.46825396825396826,0.4518398268398268,-0.016414141414141437,42.142857142857146,59.642857142857146,17.5,10.0,12.0,2.0,1.1405746217757937,1.1974431818181819,0.05686856004238816,1.4767371980510247,1.5500364830093531,0.07329928495832849
P01,23,E01,E02,Alice is older than Bob and Alice is smiling today.,"If Alice is older than Bob, then Alice is the oldest.",31.97907193937286,34.421154733532,2.4420827941591376,0.4507936507936508,0.43181818181818177,-0.018975468975469034,40.57142857142857,57.0,16.42857142857143,10.0,12.0,2.0,0.9888097369481647,1.132400066821606,0.14359032987344145,1.1688088348672878,1.4602392606283117,0.29143042576102385
P02,0,E03,E04,The bird is above the tree and the sky is bright.,"If the bird is above the tree, then the tree is below the bird.",-6.648283750596749,11.974573423689758,18.62285717428651,0.36363636363636365,0.327891156462585,-0.03574520717377866,40.0,68.85714285714286,28.85714285714286,11.0,15.0,4.0,0.868543679373605,1.0209282077088648,0.15238452833525984,1.169705067049404,1.4857808346660064,0.3160757676166024
P02,8,E03,E04,The bird is above the tree and the sky is bright.,"If the bird is above the tree, then the tree is below the bird.",15.391580066981476,31.415543639992624,16.023963573011148,0.4136363636363636,0.3529993815708101,-0.06063698206555346,45.5,73.28571428571429,27.785714285714292,11.0,14.785714285714286,3.7857142857142865,1.02603759765625,1.1174852587075315,0.09144766105128155,1.3858727704998461,1.776003625967166,0.39013085546731996
P02,15,E03,E04,The bird is above the tree and the sky is bright.,"If the bird is above the tree, then the tree is below the bird.",40.1062415439352,66.8363343509082,26.730092806973005,0.4649350649350649,0.43537414965986393,-0.029560915275200994,51.142857142857146,91.42857142857143,40.285714285714285,11.0,15.0,4.0,1.202952357700893,1.3772327656648595,0.1742804079639666,1.603920631005076,1.8759990090086487,0.2720783780035727
P02,23,E03,E04,The bird is above the tree and the sky is bright.,"If the bird is above the tree, then the tree is below the bird.",5.437546730441793,39.698733017238794,34.261186286797,0.3967532467532467,0.39897959183673465,0.0022263450834879572,43.642857142857146,83.78571428571429,40.142857142857146,11.0,15.0,4.0,0.9681357519967216,1.2544706694933832,0.2863349174966615,1.1936677305337076,1.4390163427373754,0.24534861220366788
P03,0,E05,E06,Carl is taller than Dana and Carl is wearing black.,"If Carl is taller than Dana, then Dana is shorter than Carl.",3.30976802072639,21.02649738607196,17.716729365345568,0.3992063492063492,0.3731684981684981,-0.026037851037851056,35.92857142857143,58.214285714285715,22.285714285714285,10.0,13.0,3.0,0.8751086280459449,0.999348867507208,0.12424023946126306,1.1572644972810924,1.4081031065956187,0.2508386093145263
P03,8,E05,E06,Carl is taller than Dana and Carl is wearing black.,"If Carl is taller than Dana, then Dana is shorter than Carl.",4.525855406628268,26.887886398745003,22.362030992116736,0.41349206349206347,0.3759157509157509,-0.037576312576312554,37.214285714285715,58.642857142857146,21.42857142857143,10.0,13.0,3.0,0.8878868042476594,1.0568610847770394,0.16897428052938002,1.2178123876547138,1.6654520154485912,0.44763962779387745
P03,15,E05,E06,Carl is taller than Dana and Carl is wearing black.,"If Carl is taller than Dana, then Dana is shorter than Carl.",35.86493662510298,51.62265825844717,15.75772163334419,0.47063492063492063,0.44413919413919417,-0.026495726495726457,42.357142857142854,69.28571428571429,26.928571428571438,10.0,13.0,3.0,1.0976698133680556,1.2667345319475447,0.16906471857948913,1.4327838564705628,1.6965323643215218,0.26374850785095894
P03,23,E05,E06,Carl is taller than Dana and Carl is wearing black.,"If Carl is taller than Dana, then Dana is shorter than Carl.",14.397084364276129,21.236768570860903,6.839684206584774,0.43730158730158725,0.38186813186813184,-0.0554334554334554,39.357142857142854,59.57142857142857,20.214285714285715,10.0,13.0,3.0,0.9190552726624504,1.1439830689203172,0.22492779625786685,0.9993356585558828,1.4748370519631393,0.4755013934072565
P04,0,E07,E08,The cup is inside the box and the lid is closed.,"If the cup is inside the box, then the box contains the cup.",1.2099927379007707,17.982913853821223,16.772921115920454,0.3766233766233766,0.3528257456828885,-0.02379763094048809,41.42857142857143,64.21428571428571,22.785714285714278,11.0,14.0,3.0,0.8807525634765625,1.0133512727506868,0.13259870927412432,1.1753024774489957,1.441243464515323,0.2659409870663272
P04,8,E07,E08,The cup is inside the box and the lid is closed.,"If the cup is inside the box, then the box contains the cup.",15.614118518349672,28.12493569794415,12.510817179594477,0.4202020202020202,0.3618524332810047,-0.058349586921015495,46.0,65.85714285714286,19.85714285714286,10.928571428571429,14.0,3.071428571428571,1.036828371078249,1.0995919503571787,0.06276357927892962,1.4051042471769684,1.7197133799558402,0.3146091327788718
P04,15,E07,E08,The cup is inside the box and the lid is closed.,"If the cup is inside the box, then the box contains the cup.",41.50565611375082,61.53537862445097,20.029722510700154,0.4727272727272727,0.4438775510204081,-0.028849721706864617,52.0,80.78571428571429,28.785714285714292,11.0,14.0,3.0,1.2361092703683034,1.3365377908224587,0.10042852045415529,1.6130469775823213,1.7881603286412793,0.17511335105895798
P04,23,E07,E08,The cup is inside the box and the lid is closed.,"If the cup is inside the box, then the box contains the cup.",10.276254628439322,30.51588929425581,20.23963466581649,0.4266233766233766,0.39678178963893246,-0.02984158698444417,46.92857142857143,72.21428571428571,25.285714285714278,11.0,14.0,3.0,1.0253839901515416,1.1586633619371352,0.13327937178559357,1.3081621081043366,1.3240090531873363,0.015846945082999664
P05,0,E09,E10,Every rose is red and this flower smells sweet tonight.,"If every rose is red, then this flower is red.",1.4986860687187153,16.210195822062452,14.711509753343737,0.4039682539682539,0.3714285714285714,-0.032539682539682535,36.357142857142854,40.857142857142854,4.5,10.0,11.0,1.0,0.877807374984499,0.8577405657087054,-0.02006680927579363,1.193564557729415,1.1043137163365804,-0.08925084139283457
P05,8,E09,E10,Every rose is red and this flower smells sweet tonight.,"If every rose is red, then this flower is red.",27.367161504652987,19.537505961216375,-7.829655543436612,0.43809523809523804,0.4181818181818181,-0.01991341991341994,38.42857142857143,46.0,7.571428571428569,9.642857142857142,11.0,1.3571428571428577,0.9495543049576601,1.0279094877697172,0.07835518281205711,1.2677742246555035,1.5522235681564787,0.28444934350097517
P05,15,E09,E10,Every rose is red and this flower smells sweet tonight.,"If every rose is red, then this flower is red.",33.37585598189805,33.72731004559474,0.35145406369669274,0.46984126984126984,0.44805194805194803,-0.021789321789321803,42.285714285714285,49.285714285714285,7.0,10.0,11.0,1.0,1.1088222927517362,1.1304630824497768,0.02164078969804062,1.39967002777356,1.4494571202425683,0.049787092469008254
P05,23,E09,E10,Every rose is red and this flower smells sweet tonight.,"If every rose is red, then this flower is red.",22.487010697743887,32.12416063516523,9.637149937421345,0.4396825396825396,0.46688311688311684,0.027200577200577225,39.57142857142857,51.357142857142854,11.785714285714285,10.0,11.0,1.0,0.9591161334325397,1.1891645159040178,0.23004838247147819,1.1822117903963814,1.4816691032746458,0.2994573128782645
